DBpedia Link,Abstract
http://dbpedia.org/resource/Cablemás,"Cablemás was a Mexican regional telecommunications company, owned by Grupo Televisa. The company had a triple play-based service, consisting on subscription television, phone line and broadband internet offered in a single package deal. The company had its headquarters in Colonia Juárez, Cuauhtémoc, Mexico City. In 2015, Cablemás's operations were rebranded as izzi Telecom following a corporate decision by Televisa to unify its regional-based TV providers, such as Cablecom and Cablevisión, under one sole brand."
http://dbpedia.org/resource/Cabo_Almi,"José Almi Pereira Moura full name of Cabo Almi, born on December 17, 1962, in Jardim Olinda and died on May 24, 2021, in Campo Grande, was a Brazilian politician was a member of the Workers Party. In 1987 he married Irene Carolina de Oliveira who had three children Flávio, Fabrícia e Monique."
http://dbpedia.org/resource/Cabo_Anselmo,"José Anselmo dos Santos (13 February 1942 – 15 March 2022), known as Cabo Anselmo (""Corporal Anselmo""), was a Brazilian military officer who was the leader of the Sailors' Revolt, which started the 1964 Brazilian coup d'état. Initially presenting himself in public as a military officer identified with Marxist ideas, he was in reality an undercover agent of the forces of repression of the military government, where he collected and provided the military with information that allowed them to capture guerrillas and leftist opponents, including his partner, Soledad Barrett Viedma, who, while pregnant, was brutally tortured and died in a military prison."
http://dbpedia.org/resource/Cabo_Daciolo,"Benevenuto Daciolo Fonseca dos Santos (born 30 March 1976), known as Cabo Daciolo (Corporal Daciolo in English), is a Brazilian military firefighter and politician affiliated to the Democratic Labour Party (PDT). In 2014, he was elected federal deputy. He was expelled from the Socialism and Liberty Party (PSOL) in 2015 and later affiliated himself to the Labour Party of Brazil (PTdoB) (later Avante) and then to Patriota. Daciolo gained notoriety in 2011, when he was one of the leaders of the firefighters' strike in Rio de Janeiro. The strikes occupied the headquarters of the corporation and camped in the staircases of the Legislative Assembly of Rio de Janeiro (ALERJ). Daciolo was arrested and detained for nine days in the Gericinó Penitentiary Complex. He ran for President of Brazil in the 2018 elections, gaining 1.3% of the popular vote and coming in 6th place."
http://dbpedia.org/resource/Cabo_Junio_Amaral,"Geraldo Junio do Amaral (born 30 June 1987) more commonly known as Cabo Junio Amaral is a Brazilian military figure and politician. He has spent his political career representing his home state of Minas Gerais, having served as state representative since 2015."
http://dbpedia.org/resource/Cabore,"Everaldo de Jesus Pereira, also known as Cabore (born February 19, 1980, in Salvador) is a Brazilian former footballer who last played as a forward for Qatar Stars League side Umm-Salal."
http://dbpedia.org/resource/Cabot_Bigham,"Cabot Bigham (born October 7, 1996) is an American racing driver. He currently competes in Nitro Rallycross with Dreyer & Reinbold Racing. In 2016, he won the Global Rallycross championship in the Lites class."
http://dbpedia.org/resource/Cabot_family,"The Cabot family was part of the Boston Brahmin, also known as the ""first families of Boston""."
http://dbpedia.org/resource/Cabous_Eloff,Jacobus Johannes Cabous Eloff (born 30 July 1998) is a South African rugby union player who plays for the Rebels in Super Rugby. His playing position is prop. He has signed for the Rebels squad in 2020.
http://dbpedia.org/resource/Cabous_van_der_Westhuizen,"Jacobus Ferdinand 'Cabous' van der Westhuizen (born 11 January 1965) is a former South African rugby player. He never played in a test match, but played for South Africa in 11 tour matches."
http://dbpedia.org/resource/Cabral_(footballer),"Adilson Tavares Varela (born 22 October 1988), commonly known as Cabral, is a professional footballer who plays for Lausanne-Sport. He spent most of his career at Basel, winning nine honours including five Swiss Super League titles, and also had brief spells in three foreign countries. After representing his adopted Switzerland 30 times between under-18 and under-21 level, Cabral was called up in 2012 for his native Cape Verde but did not play."
http://dbpedia.org/resource/Cabral_Ibacka,"Cabral Neculai Ibacka Zabana (Romanian pronunciation: [kaˈbral nekuˈlaj iˈbaka]), popularly known as just Cabral (born 4 October 1977) is a Romanian television personality, actor, philanthropist, Tae Bo coach, and 1994 European vice-champion at kick-boxing."
http://dbpedia.org/resource/Cabralzinho_(footballer),"Carlos Roberto Ferreira Cabral (born 2 January 1945) is a Brazilian football manager nicknamed Cabralzinho who last managed Espérance of Tunisia, a position he held from May 2008 to November 2008. He previously managed Espérance in 2007."
http://dbpedia.org/resource/Cabu,"Jean Maurice Jules Cabut (French pronunciation: ​[ʒɑ̃ mɔʁis ʒyl kaby]; 13 January 1938 – 7 January 2015), known by the pen-name Cabu (pronounced [kaby]), was a French comic strip artist and caricaturist. He was murdered in the January 2015 shooting attack on the Charlie Hebdo newspaper offices. Cabu was a staff cartoonist and shareholder at Charlie Hebdo."
http://dbpedia.org/resource/Cabum,"Cabum, born Frank Kwame Gyasi- Frimpong on 15 June 1985, to Ghanaian highlife musician Alhaji Kwame Frimpong (popularly known as Alhaji K. Frimpong) and Joyce Asabia Frimpong, is a Ghanaian rapper from Kumasi."
http://dbpedia.org/resource/Cabwey_Kivutuka,"Cabwey Mereve Kivutuka (born 7 February 1998) is a Congolese international footballer who plays as a forward for Charlotte Independence and the Congo national football team. He was accepted into the Congolese National Team on March, 15, 2019."
http://dbpedia.org/resource/Cac_Hubbard,"Clyde Wesley ""Cac"" Hubbard (September 13, 1896 – October 30, 1980) was an American football, basketball, and baseball coach and college athletics administrator. Hubbard served as the head football coach at the College of Puget Sound—now known as the University of Puget Sound—from 1926 to 1928 and at the University of Denver from 1939 to 1941 and again from 1944 to 1947, compiling a career college football coaching record of 45–35–10. Hubbard was the head basketball coach at Denver from 1932 to 1940 and the school's baseball coach in 1948. He served as the athletic director at Denver from 1941 to 1948 and at the University of Montana from 1949 to 1952. Hubbard graduated from Oregon State Agricultural College—now known as Oregon State University—in 1921. There he lettered in football, basketball, and baseball."
http://dbpedia.org/resource/Caca_Handika,"Caca Hermanto, stage name Caca Handika, is an Indonesian dangdut singer. Some of his hit songs are Undangan Palsu, Mandi Kembang, and Bakar Kemenyan. In addition as dangdut singer, Handika also designs to batik motifs. Handika had appeared on Yuk Keep Smile and other programs broadcast on Trans TV, such as Ngabuburit. Handika had played debut television soap opera on 2000 Tuyul dan Mbak Yul (only appeared in one episode) by RCTI and in 2006 Handika also starred in a musical drama soap opera, titled Kampung Dangdut playing the role of Caca, the youngest brother of Bang Haji Rhoma (played by Rhoma Irama). Currently, Handika is a vocal coach in an Indosiar' talent celebrity show D'Academy Celebrity."
http://dbpedia.org/resource/Cacaio,"João Carlos Santos do Amaral (born 25 August 1967), known as Cacaio, is a Brazilian football manager and former forward. He is one of the best known former players and current head-coaches/managers in Brazil. having as footballer, acted clubs in Flamengo, Itaperuna, Bangu and Santa Cruz. But it was by Paysandu in that if more stressed the lead-lot for the first time in Campeonato Brasileiro Série A, with the conquest of the Série B and being gunner this edition. then migrated to the arquirrival Rowing and also served by Guarani, Remo, Criciúma, Sion and even by Ponte Preta, Vila Nova and acting by Brasil de Pelotas and Pelotas. After finishing his career as a player, he returned to Itaperuna from 2007 to 2008. and after working various clubs of Para: Cametá and Paragominas, of the 2012. in 2013, he commanded Tuna Luso and returned to Paragominas the following year. At beginning of 2015 he returned to command the Cametá and also this year controls Remo."
http://dbpedia.org/resource/Cacau,"Claudemir Jerônimo Barreto (born 27 March 1981), known as Cacau (Portuguese pronunciation: [kaˈkaw], German: [kaˈkaʊ]), is a former professional footballer who played as a striker. Born in Brazil, he represented Germany at international level. Cacau received German citizenship in February 2009 and made his international debut in May that year in a friendly match against China. He was part of the German national team at the 2010 FIFA World Cup."
http://dbpedia.org/resource/Cacau_Protásio,"Anna Cláudia Protásio Monteiro (born June 3, 1975), known professionally as Cacau Protásio, is a Brazilian actress and comedian."
http://dbpedia.org/resource/Cachao,"Israel López Valdés (September 14, 1918 – March 22, 2008), better known as Cachao (/kəˈtʃaʊ/ kə-CHOW), was a Cuban double bassist and composer. Cachao is widely known as the co-creator of the mambo and a master of the descarga (improvised jam sessions). Throughout his career he also performed and recorded in a variety of music styles ranging from classical music to salsa. An exile in the United States since the 1960s, he only achieved international fame following a career revival in the 1990s. Born into a family of musicians in Havana, Cachao and his older brother Orestes were the driving force behind one of Cuba's most prolific charangas, Arcaño y sus Maravillas. As members of the Maravillas, Cachao and Orestes pioneered a new form of ballroom music derived from the danzón, the danzón-mambo, which subsequently developed into an international genre, mambo. In the 1950s, Cachao became famous for popularizing improvised jam sessions known as descargas. He emigrated to Spain in 1962, and moved to the United States in 1963, starting a career as a session and live musician for a variety of bands in New York during the rise of boogaloo, and later, salsa. In the 1970s, Cachao fell into obscurity after moving to Las Vegas and later Miami, releasing albums sporadically as a leader. In the 1990s, he was re-discovered by actor Andy García, who brought him back to the forefront of the Latin music scene with the release of a documentary and several albums. Before his death in 2008, Cachao had earned a star on the Hollywood Walk of Fame and several Grammy Awards. He is ranked number 24 on Bass Player magazine's list of ""The 100 Greatest Bass Players of All Time""."
http://dbpedia.org/resource/Cache_Craze,"Cache Craze is a Canadian treasure hunt themed television show featuring challenges that are typical for a game show such as: Hiking, Swimming, etc. This reality competition features teams tracking down caches with the help of GPS technology. Teams explore mazes and endure a series of mental and physical challenges as they race to collect points from nabbing hidden geocaches. The last team standing will go home with cash and prizes and ""The Amazing Amaze Ball!"". The show is hosted by Ryan Horwood."
http://dbpedia.org/resource/Cachela_Boane,Cachela Boane (born 28 December 1972) is a Mozambican footballer. He played in 13 matches for the Mozambique national football team from 1993 to 1997. He was also named in Mozambique's squad for the 1996 African Cup of Nations tournament.
http://dbpedia.org/resource/Cachet_Lue,"Cachet Evelyn Lue (born March 26, 1997) is a Canadian-born Jamaican footballer who plays as a defender for the Jamaica women's national team."
http://dbpedia.org/resource/Cacho_Castaña,"Humberto Vicente Castagna (June 11, 1942 – October 15, 2019), better known as Cacho Castaña, was an Argentine singer, songwriter, pianist and actor. Born in Buenos Aires, he initially worked as a shoe cobbler before becoming famous as a bolero singer in the 1970s. Castana composed and sung various compositions and songs, several of which became gold and platinum records. He also starred in multiple films. Castaña's career declined during the 1990s but rebounded after 2003 and he became active in Argentina's stage and festival circuit."
http://dbpedia.org/resource/Cacho_Fontana,"Jorge ""Cacho"" Fontana (born Norberto Palese Filgueiras; 23 April 1932 – 5 July 2022) was an Argentine radio and television personality."
http://dbpedia.org/resource/Cachorro_López,"Gerardo Horacio López von Linden (born 3 March 1956), known professionally as Cachorro López, is an Argentine record producer, musician and songwriter. Born in Buenos Aires, Argentina, he enrolled in various musical ensembles, including Zas and Los Abuelos de la Nada. López has worked with several artists producing their albums, including Caifanes, Stephanie Salas, Andrés Calamaro, Paulina Rubio, Diego Torres and Miranda!. López also was the executive producer of the tribute album for the English band Queen in 1997. His work has been recognized with two Latin Grammy Awards for Producer of the Year in 2006 and 2009, out of four consecutive nominations, and a Grammy Award for producing Limón y Sal by Julieta Venegas."
http://dbpedia.org/resource/Cachorro_Mendoza,"Pedro Jacobo Contreras (born October 10, 1955) is a semi-retired Mexican Luchador or professional wrestler best known under the ring name Cachorro Mendoza. Cachorro Mendoza means ""Cub Mendoza"" in English and refers to the fact that he is the youngers of the Mendoza brothers Ringo, Indio and Freddy all of whom are Luchadors. Over the years he's worked extensively for Empresa Mexicana de Lucha Libre (EMLL) and the Universal Wrestling Association (UWA), often teaming with his brothers, especially Ringo Mendoza. The Mendoza brothers have held the Mexican National Tag Team Championship on one occasion, and he has also held the Mexican National Middleweight Championship, the NWA World Middleweight Championship and the UWA World Middleweight Championship during his career. Cotreras briefly worked as Máscara Sagrada on the Mexican Independent circuit, using the outfit and name of the original Máscara Sagrada without permission. He retired from professional wrestling in the late 1990s but returned to the ring in 2009 to team with his brother Ringo Mendoza on a series of shows promoted by International Wrestling Revolution Group (IWRG)."
http://dbpedia.org/resource/Cachupoy,"Salvador Garcia Tampac (July 12, 1932 – January 1, 2008), better known by his screen name Cachupoy was a Filipino actor-comedian. His trademark is sporting hair that is parted in the middle. He was a mainstay of the television program. He starred in films such as Sa Kabukiran, Sitak ni Jack, Rangers in the Wrong War (1987), A Man Called Tolonges (1981), and Pitong James Bonds (1966). He also starred in the ""Andres de Saya"" series (1980), (1983) and (1986) with Vic Vargas and Gloria Diaz and ""Mahiwagang Singsing"" (1986) with Lotlot de Leon. He dresses up like Charlie Chaplin and wears almost the same wardrobe as Chaplin. One of our golden and famous actors/comedian during the early days of cinema in the Philippines. Though he never carried a stick, like Charlie Chaplin did, he distinctively acts like him. Cachupoy was also known in his performances with Serafin Gabriel (a.k.a. Apeng Daldal) and with Arturo Vergara Medina (a.k.a. Bentot)."
http://dbpedia.org/resource/Cacilda_Becker,Cacilda Becker Iaconis (6 April 1921 – 14 June 1969) was a Brazilian actress.
http://dbpedia.org/resource/Cack_Henley,"Clarence T. ""Cack"" Henley (June 21, 1884 – July 9, 1929) was an American professional baseball pitcher. He played for the San Francisco Seals and Venice / Vernon Tigers of the Pacific Coast League from 1905 to 1915. He is a member of the PCL Hall of Fame."
http://dbpedia.org/resource/Caco_Barcellos,"Cláudio Barcellos de Barcellos, known as Caco Barcellos, (born 5 March 1950) is a Brazilian journalist, television reporter and writer, specialized in investigative stories and documentaries about human rights, denouncing social injustice and violence. He presents the program Profissão:Repórter at TV Globo. Barcellos was awarded two times with Prêmio Jabuti on reporting, with the books Rota 66:a história da polícia que mata (1992) and Abusado: o dono do Morro Dona Marta (2004)."
http://dbpedia.org/resource/Caco_Ciocler,"Carlos Alberto ""Caco"" Ciocler (born 27 September 1971) is a Brazilian actor and director."
http://dbpedia.org/resource/Cactus,"A cactus (pl. cacti, cactuses, or less commonly, cactus) is a member of the plant family Cactaceae, a family comprising about 127 genera with some 1750 known species of the order Caryophyllales. The word cactus derives, through Latin, from the Ancient Greek word κάκτος (káktos), a name originally used by Theophrastus for a spiny plant whose identity is now not certain. Cacti occur in a wide range of shapes and sizes. Although some species live in quite humid environments, most cacti live in habitats subject to at least some drought. Many live in extremely dry environments, even being found in the Atacama Desert, one of the driest places on Earth. Because of this, cacti show many adaptations to conserve water. For example, almost all cacti are succulents, meaning they have thickened, fleshy parts adapted to store water. Unlike many other succulents, the stem is the only part of most cacti where this vital process takes place. Most species of cacti have lost true leaves, retaining only spines, which are highly modified leaves. As well as defending against herbivores, spines help prevent water loss by reducing air flow close to the cactus and providing some shade. In the absence of true leaves, cacti's enlarged stems carry out photosynthesis. Cacti are native to the Americas, ranging from Patagonia in the south to parts of western Canada in the north—except for Rhipsalis baccifera, which also grows in Africa and Sri Lanka. Cactus spines are produced from specialized structures called areoles, a kind of highly reduced branch. Areoles are an identifying feature of cacti. As well as spines, areoles give rise to flowers, which are usually tubular and multipetaled. Many cacti have short growing seasons and long dormancies and are able to react quickly to any rainfall, helped by an extensive but relatively shallow root system that quickly absorbs any water reaching the ground surface. Cactus stems are often ribbed or fluted, which allows them to expand and contract easily for quick water absorption after rain, followed by retention over long drought periods. Like other succulent plants, most cacti employ a special mechanism called ""crassulacean acid metabolism"" (CAM) as part of photosynthesis. Transpiration, during which carbon dioxide enters the plant and water escapes, does not take place during the day at the same time as photosynthesis, but instead occurs at night. The plant stores the carbon dioxide it takes in as malic acid, retaining it until daylight returns, and only then using it in photosynthesis. Because transpiration takes place during the cooler, more humid night hours, water loss is significantly reduced. Many smaller cacti have globe-shaped stems, combining the highest possible volume for water storage with the lowest possible surface area for water loss from transpiration. The tallest free-standing cactus is Pachycereus pringlei, with a maximum recorded height of 19.2 m (63 ft), and the smallest is Blossfeldia liliputiana, only about 1 cm (0.4 in) in diameter at maturity. A fully grown saguaro (Carnegiea gigantea) is said to be able to absorb as much as 200 U.S. gallons (760 l; 170 imp gal) of water during a rainstorm. A few species differ significantly in appearance from most of the family. At least superficially, plants of the genera Leuenbergeria, Rhodocactus and Pereskia resemble other trees and shrubs growing around them. They have persistent leaves, and when older, bark-covered stems. Their areoles identify them as cacti, and in spite of their appearance, they, too, have many adaptations for water conservation. Leuenbergeria is considered close to the ancestral species from which all cacti evolved. In tropical regions, other cacti grow as forest climbers and epiphytes (plants that grow on trees). Their stems are typically flattened, almost leaf-like in appearance, with fewer or even no spines, such as the well-known Christmas cactus or Thanksgiving cactus (in the genus Schlumbergera). Cacti have a variety of uses: many species are used as ornamental plants, others are grown for fodder or forage, and others for food (particularly their fruit). Cochineal is the product of an insect that lives on some cacti. Many succulent plants in both the Old and New World – such as some Euphorbiaceae (euphorbias) – are also spiny stem succulents and because of this are sometimes incorrectly referred to as ""cactus""."
http://dbpedia.org/resource/Cactus_Keck,"Frank Joseph ""Cactus"" Keck (January 13, 1899 – February 6, 1981) was a pitcher in Major League Baseball. He played for the Cincinnati Reds."
http://dbpedia.org/resource/Cactus_Pete_Piersanti,"Peter Vincent ""Cactus Pete"" Piersanti (November 3, 1916 – February 15, 1994) was an American hotel and casino promoter active in Idaho and Nevada from the 1940s to the 1980s. He is credited as one of the main founders of the community of Jackpot, Nevada, in the 1950s. He is namesake of two Nevada casinos he owned at different points in his career, Cactus Pete's casino in Jackpot and Cactus Jack's Casino in Carson City. Piersanti was born in Superior, Wyoming, the youngest of six children. His parents were Italian immigrants. His family later moved to Ogden, Utah. While in Ogden in 1941 Piersanti purchased a local bar and grill with a card room and a pinball machine distribution company. In 1943 Piersanti enlisted in the United States Army and served during World War II. After the war Piersanti and his family were among the original owners of the Island Park Lodge in Island Park, Idaho, which opened in 1947. The property featured several slot machines owned by Piersanti. In 1954 the State of Idaho outlawed all forms of gambling. In response Piersanti moved his slot machine operation from Island Park to a site just south of the Idaho border on U.S. Route 93 in what was then considered a part of Contact, Nevada, in Elko County. The opening of Piersanti's establishment, Cactus Pete's Motor Lodge, was instrumental in the founding of the town of Jackpot. Originally a gas station with slot machines, by 1958 Cactus Pete's was so successful a 15-room hotel and aircraft runway were built to accommodate the growing numbers of visitors, mainly from nearby Idaho. Cactus Pete's was incorporated by Piersanti and others in 1956. This corporation is considered the forerunner of Ameristar Casinos, which currently owns the Cactus Pete's property. Piersanti sold his interest in Cactus Pete's in 1971. After a brief stay in Las Vegas, later in 1971 he bought the Senator Club in Carson City and renamed it Cactus Jack's Senator Club. Piersanti remained active in the Carson City gaming community until his retirement in 1989. During his final years he lived in the Lake Tahoe area. In addition to the casinos, Piersanti Drive in Jackpot is named after Piersanti. In 2001 Piersanti was featured on a $5 casino token issued by Cactus Jack's Casino as part of a series honoring Nevada gaming pioneers."
"http://dbpedia.org/resource/Cacá_(footballer,_born_1979)","Carlos Eduardo Ferrari, sometimes known as Cacá, (born 19 February 1979) is a former Brazilian footballer, but also holds Italian nationality."
"http://dbpedia.org/resource/Cacá_(footballer,_born_1982)","Lucas de Deus Santos (born 9 October 1982), known as Cacá, is a Brazilian professional footballer who plays for Esporte Clube Santo André as a midfielder."
"http://dbpedia.org/resource/Cacá_(footballer,_born_1999)","Carlos de Menezes Júnior (born 25 April 1998), commonly known as Cacá, is a Brazilian professional footballer who plays for Tokushima Vortis as a central defender."
http://dbpedia.org/resource/Cacá_Bueno,"Carlos Eduardo Santos Galvão Bueno Filho, better known as Cacá Bueno (born 24 January 1976) is a Brazilian professional racing driver. He competes full-time in the Stock Car Pro Series, driving the No. 0 Chevrolet Cruze for Crown Racing. He is best known for winning the Stock Car Brasil championship five times."
http://dbpedia.org/resource/Cad_Coles,"Cadwallader ""Cad"" Coles (January 17, 1886 - June 30, 1942) was an outfielder who played for the Kansas City Packers of the Federal League in 1914. He was educated at Clemson University. Coles drowned in Miami, Florida at the age of 56."
http://dbpedia.org/resource/Cadalack_Ron,"Robert Paulson (April 28, 1981 – January 22, 2016), better known by his stage name Cadalack Ron, was an American rapper from Los Angeles, California."
http://dbpedia.org/resource/Cadan_Murley,Cadan Murley (born 31 July 1999) is an English professional rugby union player who plays as a wing for Premiership Rugby club Harlequins.
http://dbpedia.org/resource/Cadarian_Raines,"Cadarian Raines (born October 12, 1990) is an American professional basketball player for KB Trepça of the Kosovo Basketball Superleague. Standing at 2.06 m (6'9""), he plays the power forward and the center positions. After playing four years of college basketball at Virginia Tech, Raines entered the 2014 NBA draft, but he was not selected in the draft's two rounds."
http://dbpedia.org/resource/Cadaveria,"Cadaveria, real name Raffaella Rivarolo (born 31 May 1972), is an Italian musician famous for being one of the first women to enter the extreme metal scene in the early 1990s, as former vocalist and keyboard player of the symphonic black metal band Opera IX."
http://dbpedia.org/resource/Cadbury_Dream_Factory,"Cadbury Dream Factory is a New Zealand reality television where viewers submitted their 'dreams'.The first episode aired on 20 February 2014 on TV3. The show is presented and hosted by Brooke Howard-Smith and includes his 'helpers', actress Kimberley Crossman, former Sticky TV children's host Walter Neilands, performer Guy Montgomery and stand-up comedian Jesse Griffin."
