Tool URL,Prediction,Classification By Experts,Accuracy,,,Summary
http://dbpedia.org/resource/Session_Initiation_Protocol,Tool,Concept,FALSE,,,"The Session Initiation Protocol (SIP) is a signaling protocol used for initiating, maintaining, and terminating communication sessions that include voice, video and messaging applications. SIP is used in Internet telephony, in private IP telephone systems, as well as mobile phone calling over LTE (VoLTE)."
http://dbpedia.org/resource/XMPP,Tool,Concept,FALSE,,,"Extensible Messaging and Presence Protocol (XMPP, originally named Jabber) is an open communication protocol designed for instant messaging (IM), presence information, and contact list maintenance. Based on XML (Extensible Markup Language), it enables the near-real-time exchange of structured data between two or more network entities. Designed to be extensible, the protocol offers a multitude of applications beyond traditional IM in the broader realm of message-oriented middleware, including signalling for VoIP, video, file transfer, gaming and other uses."
http://dbpedia.org/resource/Application_server,Tool,Concept,FALSE,,,"An application server is a server that hosts applications or software that delivers a business application through a communication protocol. An application server framework is a service layer model. It includes software components available to a software developer through an application programming interface. An application server may have features such as clustering, fail-over, and load-balancing. The goal is for developers to focus on the business logic."
http://dbpedia.org/resource/Web_application,Tool,Concept,FALSE,,,A web application (or web app) is application software that is accessed using a web browser. Web applications are delivered on the World Wide Web to users with an active network connection.
http://dbpedia.org/resource/Web_browser,Tool,Concept,FALSE,,,"A web browser is application software for accessing websites. When a user requests a web page from a particular website, the browser retrieves its files from a web server and then displays the page on the user's screen. Browsers are used on a range of devices, including desktops, laptops, tablets, and smartphones. In 2020, an estimated 4.9 billion people used a browser. The most used browser is Google Chrome, with a 65% global market share on all devices, followed by Safari with 18%."
http://dbpedia.org/resource/Operating_system,Tool,Concept,FALSE,,,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources. Some operating systems require installation or may come pre-installed with purchased computers (OEM-installation), whereas others may run directly from media (i.e. live CD) or flash memory (i.e. USB stick)."
http://dbpedia.org/resource/Network_File_System,Tool,Concept,FALSE,,,"Network File System (NFS) is a distributed file system protocol originally developed by Sun Microsystems (Sun) in 1984, allowing a user on a client computer to access files over a computer network much like local storage is accessed. NFS, like many other protocols, builds on the Open Network Computing Remote Procedure Call (ONC RPC) system. NFS is an open IETF standard defined in a Request for Comments (RFC), allowing anyone to implement the protocol."
http://dbpedia.org/resource/LiteOS,Tool,Concept,FALSE,,,"Huawei LiteOS was a lightweight real-time operating system (RTOS) developed by Huawei. It is an open source, POSIX compliant operating system for Internet of things (IoT) devices, released under a three-clause BSD license. Microcontrollers of different architectures such as ARM (M0/3/4/7, A7/17/53, ARM9/11), x86, and RISC-V are supported by the project. Huawei LiteOS is part of Huawei's '1+8+N' Internet of Things solution, and has been featured in a number of open source development kits and industry offerings."
http://dbpedia.org/resource/Pebble_(watch),Tool,Tool,TRUE,,,"Pebble is a discontinued smartwatch developed by Pebble Technology Corporation. Funding was conducted through a Kickstarter campaign running from April 11, 2012, to May 18, 2012, which raised $10.3 million; it was the most funded project in Kickstarter history, at the time. Pebble began shipping watches to Kickstarter backers in January 2013. Pebble watches can be connected to Android and iOS devices to show notifications and messages. An online app store distributed Pebble-compatible apps from many developers including ESPN, Uber, Runkeeper, and GoPro."
http://dbpedia.org/resource/Pebble_Time,Tool,Tool,TRUE,,,"Pebble Time is a discontinued smartwatch developed by Pebble Technology and assembled by Foxlink, released on 14 May 2015. This is the first Pebble to introduce a color e-paper display, as well as a microphone, a new charging cable and a new Pebble Time-optimized operating system. In early 2015, Pebble announced the product, as well as its fundraising on Kickstarter. The watch received $1M in 49 minutes, breaking a current record, and was the most funded Kickstarter campaign from March 2015 to March 2022, reaching $20.4M all the way to its deadline, from over 78,741 backers."
http://dbpedia.org/resource/Sony_SmartWatch,Tool,Tool,TRUE,,,"The Sony SmartWatch is a line of wearable devices developed and marketed by Sony Mobile from 2012 to 2016 through three generations. They connect to Android smartphones and can display information such as Twitter feeds and SMS messages, among other things."
http://dbpedia.org/resource/FreeRTOS,Tool,Concept,FALSE,,,FreeRTOS is a real-time operating system kernel for embedded devices that has been ported to 35 microcontroller platforms. It is distributed under the MIT License.
http://dbpedia.org/resource/Google_Glass,Tool,Concept ,FALSE,,,"Google Glass, or simply Glass, is a brand of smart glasses developed and sold by Google. It was developed by X (previously Google X), with the mission of producing an ubiquitous computer. Google Glass displays information to the wearer using a head-up display. Wearers communicate with the Internet via natural language voice commands."
http://dbpedia.org/resource/Android_(operating_system),Tool,Concept,FALSE,,,"Android is a mobile operating system based on a modified version of the Linux kernel and other open-source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device, the HTC Dream, being launched in September 2008."
http://dbpedia.org/resource/Apple_Watch,Tool,Tool,TRUE,,,"Apple Watch is a line of smartwatches produced by Apple Inc. It incorporates fitness tracking, health-oriented capabilities, and wireless telecommunication, and integrates with iOS and other Apple products and services. The Apple Watch was released in April 2015, and quickly became the best-selling wearable device: 4.2 million were sold in the second quarter of fiscal 2015, and more than 100 million people were estimated to use an Apple Watch as of December 2020. Apple has introduced a new generation of the Apple Watch with improved internal components each Septemberï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½each labeled by Apple as a 'Series', "
http://dbpedia.org/resource/Linux,Tool,Concept,FALSE,,,"Linux (/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½liï¿½ï¿½ï¿½ï¿½ï¿½ï¿½nï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ks/ LEE-nuuks or /ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½lï¿½ï¿½ï¿½ï¿½ï¿½ï¿½nï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ks/ LIN-uuks) is a family of open-source Unix-like operating systems based on the Linux kernel, an operating system kernel first released on September 17, 1991, by Linus Torvalds. Linux is typically packaged as a Linux distribution, which includes the kernel and supporting system software and ""Linux"" in their name, but the Free Software Foundation uses the name ""GNU/Linux"" to emphasize the importance of GNU software, causing some controversy."
http://dbpedia.org/resource/Tizen,Tool,Concept,FALSE,,,"Tizen (/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½taï¿½ï¿½ï¿½ï¿½ï¿½ï¿½zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½n/) is a Linux-based mobile operating system backed by the Linux Foundation, mainly developed and used primarily by Samsung Electronics. The project was originally conceived as an HTML5-based platform for mobile devices to succeed MeeGo. Samsung merged its previous Linux-based OS effort, Bada, into Tizen, and has since used it primarily on p"
http://dbpedia.org/resource/WatchOS,Tool,Concept,FALSE,,,"watchOS is the operating system of the Apple Watch, developed by Apple Inc. It is based on iOS, the operating system used by the iPhone, and has many similar features. It was released on April 24, 2015, along with the Apple Watch, the only device that runs watchOS. watchOS exposes an API called WatchKit for developer use."
http://dbpedia.org/resource/Palm_OS,Tool,Concept,FALSE,,,"Palm OS (also known as Garnet OS) was a mobile operating system initially developed by Palm, Inc., for personal digital assistants (PDAs) in 1996. Palm OS was designed for ease of use with a touchscreen-based graphical user interface. It is provided with a suite of basic applications for personal information management. Later versions of the OS have been extended to support smartphones. Several other licensees have manufactured devices powered by Palm OS."
http://dbpedia.org/resource/IOS,Tool,Concept,FALSE,,,"iOS (formerly iPhone OS) is a mobile operating system created and developed by Apple Inc. exclusively for its hardware. It is the operating system that powers many of the company's mobile devices, including the iPhone; the term also includes the system software for iPads predating iPadOSï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½which was introduced in 2019ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½as well as on the iPod Touch devicesï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½which were discontinued in mid-2022. It is the world's second-most widely installed mobile operating system, after Android. It is the basis for three other operating systems made by Apple: iPadOS, tvOS, and watchOS. It is proprietary software, although some parts of it a"
http://dbpedia.org/resource/Metroid_Prime:_Trilogy,Tool,Tool,TRUE,,,"Metroid Prime: Trilogy is a compilation of first-person action-adventure video games developed by Retro Studios and published by Nintendo for the Wii. It features three games from the Metroid franchise: Metroid Prime (2002), Metroid Prime 2: Echoes (2004), and Metroid Prime 3: Corruption (2007). Prime and Echoes, which were originally developed for the GameCube, were updated with many of the features that were first implemented in Corruption, such as a new control scheme based on the Wii Remote and Nunchuk, and a credits system that was supported by WiiConnect24."
http://dbpedia.org/resource/Raspberry_Pi,Tool,Tool,TRUE,,,"Raspberry Pi (/paï¿½ï¿½ï¿½ï¿½ï¿½ï¿½/) is a series of small single-board computers (SBCs) developed in the United Kingdom by the Raspberry Pi Foundation in association with Broadcom. The Raspberry Pi project originally leaned towards the promotion of teaching basic computer science in schools and in developing countries. The original model became more popular than anticipated, selling outside its target market for uses such as robotics. It is widely used in many areas, such as for weather monitoring, because of its low cost, modularity, and open design. It is typically used by computer and electronic hobbyists, due to its adoption of the HDMI an"
http://dbpedia.org/resource/Debian,Tool,Tool/ Concept,TRUE,,,"Debian (/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½dï¿½ï¿½ï¿½ï¿½ï¿½ï¿½biï¿½ï¿½ï¿½ï¿½ï¿½ï¿½n/), also known as Debian GNU/Linux, is a Linux distribution composed of free and open-source software, developed by the community-supported Debian Project, which was established by Ian Murdock on August 16, 1993. The first version of Debian (0.01) was released on September 15, 1993, and its first stable version (1.1) was released on June 17, 1996. The Debian Stable is the most popular edition for personal computers and servers. Debian is also the basis fo"
http://dbpedia.org/resource/POSIX,Tool,Concept,FALSE,,,"The Portable Operating System Interface (POSIX) is a family of standards specified by the IEEE Computer Society for maintaining compatibility between operating systems. POSIX defines both the system- and user-level application programming interfaces (API), along with command line shells and utility interfaces, for software compatibility (portability) with variants of Unix and other operating systems. POSIX is also a trademark of the IEEE. POSIX is intended to be used by both application and system developers."
http://dbpedia.org/resource/Microsoft_Windows,Tool,Tool,TRUE,,,"Windows is a group of several proprietary graphical operating system families developed and marketed by Microsoft. Each family caters to a certain sector of the computing industry, for example, Windows NT for consumers, Windows Server for servers, and Windows IoT for embedded systems. Defunct Windows families include Windows 9x, Windows Mobile, and Windows Phone. The first version of Windows was released on November 20, 1985, as a graphical operating system shell for MS-DOS in response to the growing interest in graphical user interfaces (GUIs)."
http://dbpedia.org/resource/Red_Hat_Linux,Tool,Concept/ Tool,TRUE,,,"Red Hat Linux was a widely used commercial open-source Linux distribution created by Red Hat until its discontinuation in 2004. Early releases of Red Hat Linux were called Red Hat Commercial Linux. Red Hat published the first non-beta release in May 1995. It was the first Linux distribution to use the RPM Package Manager as its packaging format, and over time has served as the starting point for several other distributions, such as Mandriva Linux and Yellow Dog Linux."
http://dbpedia.org/resource/Semantic_Web,Tool,Tool/ Concept,TRUE,,,"The Semantic Web, sometimes known as Web 3.0 (not to be confused with Web3), is an extension of the World Wide Web through standards set by the World Wide Web Consortium (W3C). The goal of the Semantic Web is to make Internet data machine-readable. Berners-Lee originally expressed his vision of the Semantic Web in 1999 as follows:"
http://dbpedia.org/resource/Social_media,Tool,Concept,FALSE,,,"Social media are interactive media technologies that facilitate the creation and sharing of information, ideas, interests, and other forms of expression through virtual communities and networks. While challenges to the definition of social media arise due to the variety of stand-alone and built-in social media services currently available, there are some common features:"
http://dbpedia.org/resource/Viber,Tool,Tool,TRUE,,,"Viber, or Rakuten Viber, is a cross-platform voice over IP (VoIP) and instant messaging (IM) software application owned by Japanese multinational company Rakuten, provided as freeware for the Google Android, iOS, Microsoft Windows, Apple macOS and Linux platforms. Users are registered and identified through a cellular telephone number, although the service is accessible on desktop platforms without needing mobile connectivity. In addition to instant messaging it allows users to exchange media such as images and video records, and also provides a paid international landline and mobile calling service called Viber Out. As of 2018, there are over a billion registered users on the network."
http://dbpedia.org/resource/Signal_(software),Tool,Tool,TRUE,,,"Signal is a cross-platform centralized encrypted instant messaging service developed by the non-profit Signal Foundation and its subsidiary, the Signal Messenger LLC. Users can send one-to-one and group messages, which can include files, voice notes, images and videos. It can also be used to make one-to-one and group voice and video calls. The Android version also optionally functions as an SMS app, but this functionality will be removed in 2023."
http://dbpedia.org/resource/Skype,Tool,Tool,TRUE,,,"Skype (/skaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½p/) is a proprietary telecommunications application operated by Skype Technologies, a division of Microsoft, best known for VoIP-based videotelephony, videoconferencing and voice calls. It also has instant messaging, file transfer, debit-based calls to landline and mobile telephones (over traditional telephone networks), and other features. Skype is available on various desktop, mobile, and video game co"
http://dbpedia.org/resource/Tor_(anonymity_network),Tool,Tool/ Concept,TRUE,,,"Tor, short for The Onion Router, is free and open-source software for enabling anonymous communication. It directs Internet traffic through a free, worldwide, volunteer overlay network, consisting of more than seven thousand relays, to conceal a user's location and usage from anyone performing network surveillance or traffic analysis. Using Tor makes it more difficult to trace a user's Internet activity. Tor's intended use is to protect the personal privacy of its users, as well as their freedom and ability to communicate confidentially through IP address anonymity using Tor exit nodes."
http://dbpedia.org/resource/WhatsApp,Tool,Tool,TRUE,,,"WhatsApp (also called WhatsApp Messenger) is an internationally available freeware, cross-platform, centralized instant messaging (IM) and voice-over-IP (VoIP) service owned by American company Meta Platforms (formerly Facebook). It allows users to send text and voice messages, make voice and video calls, and share images, documents, user locations, and other content. WhatsApp's client application runs on mobile devices, and can be accessed from computers. The service requires a cellular mobile telephone number to sign up. In January 2018, WhatsApp released a standalone business app called WhatsApp Business which can communicate with the standard WhatsApp client."
http://dbpedia.org/resource/Wireshark,Tool,Tool,TRUE,,,"Wireshark is a free and open-source packet analyzer. It is used for network troubleshooting, analysis, software and communications protocol development, and education. Originally named Ethereal, the project was renamed Wireshark in May 2006 due to trademark issues."
http://dbpedia.org/resource/FaceTime,Tool,Tool,TRUE,,,"FaceTime is a proprietary videotelephony product developed by Apple Inc. FaceTime is available on supported iOS mobile devices running iOS 4 and later and Mac computers that run Mac OS X 10.6.6 and later. FaceTime supports any iOS device with a forward-facing camera and any Mac computer equipped with a FaceTime Camera. FaceTime Audio, an audio-only version, is available on any iOS device that supports iOS 7 or newer, and any Mac with a forward-facing camera running OS X 10.9.2 and later."
http://dbpedia.org/resource/Kazaa,Tool,Tool,TRUE,,,"Kazaa Media Desktop (once stylized as ""KaZaA"", but later usually written ""Kazaa"") is a discontinued peer-to-peer file sharing application using the FastTrack protocol licensed by Joltid Ltd. and operated as Kazaa by Sharman Networks. Kazaa was subsequently under license as a legal music subscription service by Atrinsic, Inc., which lasted until August 2012. According to one of its creators, Jaan Tallinn, Kazaa is pronounced ka-ZAH (/kï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½zaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½/). By Augu"
http://dbpedia.org/resource/Messenger_(software),Tool,Tool,TRUE,,,"Messenger is a proprietary instant messaging app and platform developed by Meta Platforms. Originally developed as Facebook Chat in 2008, the company revamped its messaging service in 2010, released standalone iOS and Android apps in 2011, and released standalone Facebook Portal hardware for Messenger calling in 2018. In April 2015, Facebook launched a dedicated website interface, Messenger.com, and separated the messaging functionality from the main Facebook app, allowing users to use the web interface or download one of the standalone apps. In April 2020, Facebook released a Messenger desktop app for Windows and macOS."
http://dbpedia.org/resource/Open-source_software,Tool,Concept,FALSE,,,"Open-source software (OSS) is computer software that is released under a license in which the copyright holder grants users the rights to use, study, change, and distribute the software and its source code to anyone and for any purpose. Open-source software may be developed in a collaborative public manner. Open-source software is a prominent example of open collaboration, meaning any capable user is able to participate online in development, making the number of possible contributors indefinite. The ability to examine the code facilitates public trust in the software."
http://dbpedia.org/resource/OpenBSD,Tool,Concept/ Tool,TRUE,,,"OpenBSD is a security-focused, free and open-source, Unix-like operating system based on the Berkeley Software Distribution (BSD). Theo de Raadt created OpenBSD in 1995 by forking NetBSD 1.0. According to the website, the OpenBSD project emphasizes ""portability, standardization, correctness, proactive security and integrated cryptography."" The word ""open"" in the name OpenBSD refers to the availability of the operating system source code on the Internet, although the word ""open"" in the name OpenSSH means ""OpenBSD"". It also refers to the wide range of hardware platforms the system supports."
http://dbpedia.org/resource/OpenVPN,Tool,Concept/ Tool,TRUE,,,"OpenVPN is a virtual private network (VPN) system that implements techniques to create secure point-to-point or site-to-site connections in routed or bridged configurations and remote access facilities. It implements both client and server applications. OpenVPN allows peers to authenticate each other using pre-shared secret keys, certificates or username/password. When used in a multiclient-server configuration, it allows the server to release an authentication certificate for every client, using signatures and certificate authority."
http://dbpedia.org/resource/Server_Name_Indication,Tool,Concept,FALSE,,,"Server Name Indication (SNI) is an extension to the Transport Layer Security (TLS) computer networking protocol by which a client indicates which hostname it is attempting to connect to at the start of the handshaking process. This allows a server to present one of multiple possible certificates on the same IP address and TCP port number and hence allows multiple secure (HTTPS) websites (or any other service over TLS) to be served by the same IP address without requiring all those sites to use the same certificate. It is the conceptual equivalent to HTTP/1.1 name-based virtual hosting, but for HTTPS. This also allows a proxy to forward client traffic to the right server during TLS/SSL handshake. The desired hostname is not encrypted in the original SNI extension, so an eavesdropper can see"
http://dbpedia.org/resource/Sniffer_(protocol_analyzer),Tool,Concept,FALSE,,,"The Sniffer was a computer network packet and protocol analyzer developed and first sold in 1986 by Network General Corporation of Mountain View, CA. By 1994 the Sniffer had become the market leader in high-end protocol analyzers. According to SEC 10-K filings and corporate annual reports, between 1986 and March 1997 about $933M worth of Sniffers and related products and services had been sold as tools for network managers and developers. The Sniffer was the antecedent of several generations of network protocol analyzers, of which the current most popular is Wireshark."
http://dbpedia.org/resource/Hypertext_Transfer_Protocol,Tool,Concept,FALSE,,,"The Hypertext Transfer Protocol (HTTP) is an application layer protocol in the Internet protocol suite model for distributed, collaborative, hypermedia information systems. HTTP is the foundation of data communication for the World Wide Web, where hypertext documents include hyperlinks to other resources that the user can easily access, for example by a mouse click or by tapping the screen in a web browser. That first version of HTTP protocol soon evolved into a more elaborated version that was the first draft toward a far future version 1.0."
http://dbpedia.org/resource/CinePaint,Tool,Tool,TRUE,,,"CinePaint is a free and open source computer program for painting and retouching bitmap frames of films. It is a fork of version 1.0.4 of the GNU Image Manipulation Program (GIMP). It enjoyed some success as one of the earliest open source tools developed for feature motion picture visual effects and animation work. The main reason for this adoption over mainline GIMP was its support for high bit depths (greater than 8-bits per channel) which can be required for film work. The mainline GIMP project later added high bit depths in GIMP 2.9.2, released November 2015. It is free software under the GPL-2.0-or-later. In 2018, a post titled ""CinePaint 2.0 Making Progress"" announced progress, but version 2.0 has not been released as of 2022."
http://dbpedia.org/resource/GIMP,Tool,Tool,TRUE,,,"GIMP (/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½mp/ GHIMP; GNU Image Manipulation Program) is a free and open-source raster graphics editor used for image manipulation (retouching) and image editing, free-form drawing, transcoding between different image file formats, and more specialized tasks. It is not designed to be used for drawing, though some artists and creators have used it for such. GIMP is released under the GPL-3.0-or-later license and is available for Linu"
http://dbpedia.org/resource/Ginkgo_CADx,Tool,Tool,TRUE,,,"Ginkgo CADx is a multi platform (Windows, Linux, Mac OS X) DICOM viewer (*.dcm) and dicomizer (convert different files to DICOM). Ginkgo CADx is licensed under LGPL license, being an open source project with an Open core approach. The goal of Ginkgo CADx project is to develop an open source professional DICOM workstation. Ginkgo CADx also has a professional version with a private license model called Ginkgo CADx Pro."
http://dbpedia.org/resource/Studierfenster,Tool,Tool,TRUE,,,"Studierfenster or StudierFenster (SF) is a free, non-commercial open science client/server-based medical imaging processing online framework. It offers capabilities, like viewing medical data (computed tomography (CT), magnetic resonance imaging (MRI), etc.) in two- and three-dimensional space directly in standard web browsers, like Google Chrome, Mozilla Firefox, Safari, and Microsoft Edge. Other functionalities are the calculation of medical metrics (dice score and Hausdorff distance), manual slice-by-slice outlining of structures in medical images (segmentation), manual placing of (anatomical) landmarks in medical image data, viewing medical data in virtual reality, a facial reconstruction and registration of medical data for augmented reality, one click showcases for COVID-19 and veter"
http://dbpedia.org/resource/3DSlicer,Tool,Tool,TRUE,,,"3D Slicer (Slicer) is a free and open source software package for image analysis and scientific visualization. Slicer is used in a variety of medical applications, including autism, multiple sclerosis, systemic lupus erythematosus, prostate cancer, lung cancer, breast cancer, schizophrenia, orthopedic biomechanics, COPD, cardiovascular disease and neurosurgery."
http://dbpedia.org/resource/Amira_(software),Tool,Tool,TRUE,,,"Amira (pronounce: Ah-meer-ah) is a software platform for 3D and 4D data visualization, processing, and analysis. It is being actively developed by Thermo Fisher Scientific in collaboration with the Zuse Institute Berlin (ZIB), and commercially distributed by Thermo Fisher Scientific."
http://dbpedia.org/resource/Noesis_(software),Tool,Tool,TRUE,,,"Noesis is software for viewing, converting, and reverse engineering data. Common data types supported by the software include images, 3D models, medical imaging (DICOM), and animation. Noesis was created and is actively maintained by video game programmer . The software supports hundreds of file formats, with a focus on allowing users to understand and analyze data in a way which would not be possible without reverse engineering. This is exemplified by the software's support for many proprietary file formats (including, more recently, animation data from the video game Final Fantasy XV), in tandem with a continued focus on user plugins and Python scripting features. Noesis has also received a great deal of community support, with native plugins and scripts available to add support for hund"
http://dbpedia.org/resource/IrfanView,Tool,Tool,TRUE,,,"IrfanView (/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½rfï¿½ï¿½ï¿½ï¿½ï¿½ï¿½nvjuï¿½ï¿½ï¿½ï¿½ï¿½ï¿½/) is an image viewer, editor, organiser and converter program for Microsoft Windows. It can also play video and audio files, and has some image creation and painting capabilities. IrfanView is free for non-commercial use; commercial use requires paid registration. It is noted for its small size, speed, ease of use, and ability "
http://dbpedia.org/resource/ImageJ,Tool,Tool,TRUE,,,"ImageJ is a Java-based image processing program developed at the National Institutes of Health and the Laboratory for Optical and Computational Instrumentation (LOCI, University of Wisconsin). Its first version, ImageJ 1.x, is developed in the public domain, while ImageJ2 and the related projects , , and are licensed with a permissive BSD-2 license. ImageJ was designed with an open architecture that provides extensibility via Java plugins and recordable macros. Custom acquisition, analysis and processing plugins can be developed using ImageJ's built-in editor and a Java compiler. User-written plugins make it possible to solve many image processing and analysis problems, from three-dimensional live-cell imaging to radiological image processing, multiple imaging system data comparisons to a"
http://dbpedia.org/resource/MicroDicom,Tool,Tool,TRUE,,,"MicroDicom is a free DICOM viewer for Windows.MicroDicom is application for primary processing and preservation of medical images in DICOM format. It is possible to open DICOM images produced by medical equipment (MRI, PET, CT, ...). It is also possible to open other image formats - BMP, GIF, JPEG, PNG, TIFF, ....It is equipped with most common tools for manipulation of DICOM images and it has an intuitive user interface.It is free to use and easily accessible to most. It has also been used by the U.S. Department of Veterans' Affairs to get medical data on their state of health."
http://dbpedia.org/resource/Orthanc_(software),Tool,Tool/ Concept,TRUE,,,"Orthanc is a standalone DICOM server. It is designed to improve the DICOM flows in hospitals and to support research about the automated analysis of medical images. Orthanc lets its users focus on the content of the DICOM files, hiding the complexity of the DICOM format and of the DICOM protocol. It is licensed under the GPLv3."
